"Time","台泥"
"2016-04-01",7
"2016-05-01",9
"2016-06-01",7
"2016-07-01",6
"2016-08-01",6
"2016-09-01",6
"2016-10-01",5
"2016-11-01",5
"2016-12-01",5
"2017-01-01",16
"2017-02-01",8
"2017-03-01",8
"2017-04-01",11
"2017-05-01",7
"2017-06-01",9
"2017-07-01",7
"2017-08-01",8
"2017-09-01",7
"2017-10-01",6
"2017-11-01",7
"2017-12-01",17
"2018-01-01",10
"2018-02-01",6
"2018-03-01",10
"2018-04-01",8
"2018-05-01",11
"2018-06-01",12
"2018-07-01",11
"2018-08-01",14
"2018-09-01",11
"2018-10-01",11
"2018-11-01",20
"2018-12-01",19
"2019-01-01",12
"2019-02-01",12
"2019-03-01",25
"2019-04-01",25
"2019-05-01",30
"2019-06-01",26
"2019-07-01",33
"2019-08-01",30
"2019-09-01",25
"2019-10-01",25
"2019-11-01",28
"2019-12-01",24
"2020-01-01",27
"2020-02-01",26
"2020-03-01",34
"2020-04-01",28
"2020-05-01",29
"2020-06-01",30
"2020-07-01",39
"2020-08-01",42
"2020-09-01",36
"2020-10-01",26
"2020-11-01",31
"2020-12-01",37
"2021-01-01",36
"2021-02-01",38
"2021-03-01",71
"2021-04-01",100
"2021-05-01",92
"2021-06-01",49
"2021-07-01",62
"2021-08-01",66
"2021-09-01",51
"2021-10-01",44
"2021-11-01",47
"2021-12-01",41
"2022-01-01",32
"2022-02-01",35
"2022-03-01",46
"2022-04-01",49
"2022-05-01",44
"2022-06-01",38
"2022-07-01",50
"2022-08-01",49
"2022-09-01",41
"2022-10-01",44
"2022-11-01",53
"2022-12-01",40
"2023-01-01",34
"2023-02-01",49
"2023-03-01",58
"2023-04-01",47
"2023-05-01",69
"2023-06-01",43
"2023-07-01",47
"2023-08-01",37
"2023-09-01",40
"2023-10-01",37
"2023-11-01",45
"2023-12-01",38
"2024-01-01",34
"2024-02-01",31
"2024-03-01",41
"2024-04-01",42
"2024-05-01",43
"2024-06-01",36
"2024-07-01",35
"2024-08-01",31
"2024-09-01",22
"2024-10-01",19
"2024-11-01",24
"2024-12-01",22
"2025-01-01",20
"2025-02-01",28
"2025-03-01",30
"2025-04-01",26
"2025-05-01",32
"2025-06-01",34
"2025-07-01",36
"2025-08-01",44
"2025-09-01",35
"2025-10-01",26
"2025-11-01",29
"2025-12-01",27
"2026-01-01",35
"2026-02-01",21
"2026-03-01",32
"2026-04-01",44
"2026-05-01",43