"Time","0056","元大高股息"
"2016-04-01",5,0
"2016-05-01",8,0
"2016-06-01",6,0
"2016-07-01",5,0
"2016-08-01",4,0
"2016-09-01",5,0
"2016-10-01",5,0
"2016-11-01",8,1
"2016-12-01",5,0
"2017-01-01",4,0
"2017-02-01",5,1
"2017-03-01",6,0
"2017-04-01",5,0
"2017-05-01",5,0
"2017-06-01",5,0
"2017-07-01",7,1
"2017-08-01",6,1
"2017-09-01",7,1
"2017-10-01",7,1
"2017-11-01",6,1
"2017-12-01",5,0
"2018-01-01",6,1
"2018-02-01",6,1
"2018-03-01",7,1
"2018-04-01",5,0
"2018-05-01",6,0
"2018-06-01",5,0
"2018-07-01",7,1
"2018-08-01",7,0
"2018-09-01",9,1
"2018-10-01",21,2
"2018-11-01",14,1
"2018-12-01",13,1
"2019-01-01",15,1
"2019-02-01",15,1
"2019-03-01",20,1
"2019-04-01",17,1
"2019-05-01",25,2
"2019-06-01",22,1
"2019-07-01",20,1
"2019-08-01",25,2
"2019-09-01",23,2
"2019-10-01",36,3
"2019-11-01",28,2
"2019-12-01",23,2
"2020-01-01",22,2
"2020-02-01",31,5
"2020-03-01",81,11
"2020-04-01",49,6
"2020-05-01",41,5
"2020-06-01",42,6
"2020-07-01",39,7
"2020-08-01",33,7
"2020-09-01",31,8
"2020-10-01",47,10
"2020-11-01",47,8
"2020-12-01",38,7
"2021-01-01",34,9
"2021-02-01",32,8
"2021-03-01",39,8
"2021-04-01",30,9
"2021-05-01",35,7
"2021-06-01",26,5
"2021-07-01",35,6
"2021-08-01",38,5
"2021-09-01",32,5
"2021-10-01",57,7
"2021-11-01",47,7
"2021-12-01",37,7
"2022-01-01",32,6
"2022-02-01",41,6
"2022-03-01",46,6
"2022-04-01",35,4
"2022-05-01",33,4
"2022-06-01",42,4
"2022-07-01",49,4
"2022-08-01",42,5
"2022-09-01",47,4
"2022-10-01",83,7
"2022-11-01",55,5
"2022-12-01",46,4
"2023-01-01",34,4
"2023-02-01",47,4
"2023-03-01",46,4
"2023-04-01",35,3
"2023-05-01",44,4
"2023-06-01",55,6
"2023-07-01",76,7
"2023-08-01",57,5
"2023-09-01",43,4
"2023-10-01",60,4
"2023-11-01",54,5
"2023-12-01",56,5
"2024-01-01",66,5
"2024-02-01",46,4
"2024-03-01",58,5
"2024-04-01",58,4
"2024-05-01",46,3
"2024-06-01",45,3
"2024-07-01",54,3
"2024-08-01",51,3
"2024-09-01",42,2
"2024-10-01",50,3
"2024-11-01",43,2
"2024-12-01",52,3
"2025-01-01",53,3
"2025-02-01",58,3
"2025-03-01",54,2
"2025-04-01",92,3
"2025-05-01",49,3
"2025-06-01",55,2
"2025-07-01",59,3
"2025-08-01",44,2
"2025-09-01",50,2
"2025-10-01",64,3
"2025-11-01",55,2
"2025-12-01",55,3
"2026-01-01",76,4
"2026-02-01",53,3
"2026-03-01",73,3
"2026-04-01",100,4
"2026-05-01",78,4